date,adjclose
2011-01-03,82.71268463134766
2011-01-04,84.20584106445312
2011-01-05,84.34162139892578
2011-01-06,83.97964477539062
2011-01-07,83.39141082763672
2011-01-10,83.7533950805664
2011-01-11,84.2963638305664
2011-01-12,84.47734832763672
2011-01-13,84.16062927246094
2011-01-14,85.15607452392578
2011-01-18,84.16062927246094
2011-01-19,82.93893432617188
2011-01-20,83.39141082763672
2011-01-21,89.31884002685547
2011-01-24,90.67630004882812
2011-01-25,90.40480041503906
2011-01-26,90.13330841064452
2011-01-27,91.76221466064452
2011-01-28,91.40023803710938
2011-01-31,91.1287841796875
2011-02-01,94.1150894165039
2011-02-02,93.7078628540039
2011-02-03,93.88885498046876
2011-02-04,93.0291519165039
2011-02-07,94.43182373046876
2011-02-08,96.28694915771484
2011-02-09,96.42271423339844
2011-02-10,96.24175262451172
2011-02-11,96.51324462890624
2011-02-14,97.2824249267578
2011-02-15,97.1014404296875
2011-02-16,97.01095581054688
2011-02-17,97.37291717529295
2011-02-18,97.01095581054688
2011-02-22,94.2055892944336
2011-02-23,92.16944122314452
2011-02-24,93.76407623291016
2011-02-25,94.85753631591795
2011-02-28,95.31315612792967
2011-03-01,92.26055908203124
2011-03-02,92.57952117919922
2011-03-03,94.53861236572266
2011-03-04,92.80729675292967
2011-03-07,92.8528289794922
2011-03-08,93.9918975830078
2011-03-09,93.9918975830078
2011-03-10,91.57715606689452
2011-03-11,92.76171875
2011-03-14,90.75706481933594
2011-03-15,89.34469604492188
2011-03-16,86.33763885498047
2011-03-17,87.56779479980469
2011-03-18,87.70449829101562
2011-03-21,89.84581756591797
2011-03-22,88.79795837402344
2011-03-23,88.98021697998047
2011-03-24,90.11921691894533
2011-03-25,89.9825439453125
2011-03-28,89.9825439453125
2011-03-29,90.48370361328124
2011-03-30,91.6227035522461
2011-03-31,91.34934997558594
2011-04-01,92.6706085205078
2011-04-04,93.5362548828125
2011-04-05,92.62503051757812
2011-04-06,93.62736511230467
2011-04-07,92.71615600585938
2011-04-08,91.98722076416016
2011-04-11,91.94164276123048
2011-04-12,91.16710662841795
2011-04-13,90.84819793701172
2011-04-14,91.12155151367188
2011-04-15,91.30379486083984
2011-04-18,91.0304183959961
2011-04-19,92.35169219970705
2011-04-20,92.94396209716795
2011-04-21,90.89371490478516
2011-04-25,90.62037658691406
2011-04-26,91.57715606689452
2011-04-27,94.08299255371094
2011-04-28,93.85518646240234
2011-04-29,93.17179870605467
2011-05-02,93.30845642089844
2011-05-03,94.03743743896484
2011-05-04,92.35169219970705
2011-05-05,90.66593933105467
2011-05-06,91.16710662841795
2011-05-09,91.44048309326172
2011-05-10,92.48837280273438
2011-05-11,91.53158569335938
2011-05-12,91.75940704345705
2011-05-13,90.62037658691406
2011-05-16,90.02809143066406
2011-05-17,89.25357055664062
2011-05-18,90.02809143066406
2011-05-19,90.93931579589844
2011-05-20,89.39024353027344
2011-05-23,88.34234619140625
2011-05-24,87.0210952758789
2011-05-25,87.56779479980469
2011-05-26,88.47903442382812
2011-05-27,88.57014465332031
2011-05-31,89.48136138916016
2011-06-01,87.15775299072266
2011-06-02,86.9754867553711
2011-06-03,85.74536895751953
2011-06-06,84.10517120361328
2011-06-07,84.19628143310547
2011-06-08,84.33300018310547
2011-06-09,84.6519546508789
2011-06-10,83.46733856201172
2011-06-13,83.7862319946289
2011-06-14,84.7430419921875
2011-06-15,83.7862319946289
2011-06-16,84.7049789428711
2011-06-17,84.93467712402344
2011-06-20,84.88871002197266
2011-06-21,86.40459442138672
2011-06-22,85.2562026977539
2011-06-23,84.42936706542969
2011-06-24,82.5459976196289
2011-06-27,83.97002410888672
2011-06-28,84.7049789428711
2011-06-29,85.2562026977539
2011-06-30,86.63424682617188
2011-07-01,88.196044921875
2011-07-05,87.46109771728516
2011-07-06,87.50702667236328
2011-07-07,88.6554183959961
2011-07-08,87.23141479492188
2011-07-11,85.57775115966797
2011-07-12,84.42936706542969
2011-07-13,85.02651977539062
2011-07-14,85.11840057373047
2011-07-15,84.56718444824219
2011-07-18,84.01593017578125
2011-07-19,85.34805297851562
2011-07-20,86.31272888183594
2011-07-21,88.01229858398438
2011-07-22,87.46109771728516
2011-07-25,87.0936050415039
2011-07-26,85.2562026977539
2011-07-27,83.18911743164062
2011-07-28,83.18911743164062
2011-07-29,82.2704086303711
2011-08-01,82.5459976196289
2011-08-02,79.0549087524414
2011-08-03,80.24922943115234
2011-08-04,75.65567779541016
2011-08-05,75.83940887451172
2011-08-08,70.87841033935547
2011-08-09,73.31298828125
2011-08-10,69.31661224365234
2011-08-11,72.02679443359375
2011-08-12,72.94548797607422
2011-08-15,75.28821563720703
2011-08-16,74.18575286865234
2011-08-17,74.5532455444336
2011-08-18,70.46497344970703
2011-08-19,69.31661224365234
2011-08-22,69.40848541259766
2011-08-23,71.38367462158203
2011-08-24,72.21053314208984
2011-08-25,70.97026062011719
2011-08-26,71.38367462158203
2011-08-29,73.68045806884766
2011-08-30,74.04794311523438
2011-08-31,74.92071533203125
2011-09-01,74.41541290283203
2011-09-02,72.3942642211914
2011-09-06,70.05155944824219
2011-09-07,72.57801055908203
2011-09-08,71.6133804321289
2011-09-09,69.31661224365234
2011-09-12,68.94911193847656
2011-09-13,70.7865219116211
2011-09-14,72.53207397460938
2011-09-15,74.57262420654297
2011-09-16,75.7320327758789
2011-09-19,75.03636932373047
2011-09-20,74.38712310791016
2011-09-21,71.3263168334961
2011-09-22,69.74951934814453
2011-09-23,70.53792572021484
2011-09-26,72.20743560791016
2011-09-27,73.08856964111328
