date,adjclose
2011-01-03,9.964778900146484
2011-01-04,10.016783714294434
2011-01-05,10.098723411560059
2011-01-06,10.090557098388672
2011-01-07,10.162823677062988
2011-01-10,10.354214668273926
2011-01-11,10.329721450805664
2011-01-12,10.413780212402344
2011-01-13,10.451871871948242
2011-01-14,10.536537170410156
2011-01-18,10.299785614013672
2011-01-19,10.245065689086914
2011-01-20,10.058810234069824
2011-01-21,9.878604888916016
2011-01-24,10.203036308288574
2011-01-25,10.322467803955078
2011-01-26,10.396541595458984
2011-01-27,10.37719440460205
2011-01-28,10.162216186523438
2011-01-31,10.259576797485352
2011-02-01,10.432226181030273
2011-02-02,10.410754203796387
2011-02-03,10.38414192199707
2011-02-04,10.476670265197754
2011-02-07,10.639335632324219
2011-02-08,10.739721298217773
2011-02-09,10.829214096069336
2011-02-10,10.719766616821289
2011-02-11,10.789610862731934
2011-02-14,10.860054969787598
2011-02-15,10.881828308105469
2011-02-16,10.979488372802734
2011-02-17,10.833451271057129
2011-02-18,10.599427223205566
2011-02-22,10.238107681274414
2011-02-23,10.359354019165039
2011-02-24,10.367216110229492
2011-02-25,10.526860237121582
2011-02-28,10.679549217224121
2011-03-01,10.561625480651855
2011-03-02,10.646592140197754
2011-03-03,10.871546745300293
2011-03-04,10.884847640991211
2011-03-07,10.744556427001953
2011-03-08,10.756651878356934
2011-03-09,10.657173156738281
2011-03-10,10.481805801391602
2011-03-11,10.642659187316895
2011-03-14,10.690131187438965
2011-03-15,10.444315910339355
2011-03-16,9.978084564208984
2011-03-17,10.118070602416992
2011-03-18,9.99803638458252
2011-03-21,10.258973121643066
2011-03-22,10.316417694091797
2011-03-23,10.255644798278809
2011-03-24,10.430410385131836
2011-03-25,10.629057884216309
2011-03-28,10.595793724060059
2011-03-29,10.611520767211914
2011-03-30,10.541067123413086
2011-03-31,10.537442207336426
2011-04-01,10.418009757995605
2011-04-04,10.316117286682129
2011-04-05,10.246576309204102
2011-04-06,10.22087287902832
2011-04-07,10.222087860107422
2011-04-08,10.130770683288574
2011-04-11,10.001968383789062
2011-04-12,10.050345420837402
2011-04-13,10.163128852844238
2011-04-14,10.050947189331055
2011-04-15,9.900979042053223
2011-04-18,10.033716201782227
2011-04-19,10.215431213378906
2011-04-20,10.353006362915039
2011-04-21,10.603656768798828
2011-04-25,10.673503875732422
2011-04-26,10.595193862915039
2011-04-27,10.587026596069336
2011-04-28,10.484228134155273
2011-04-29,10.586423873901367
2011-05-02,10.470017433166504
2011-05-03,10.528067588806152
2011-05-04,10.569491386413574
2011-05-05,10.484228134155273
2011-05-06,10.48150634765625
2011-05-09,10.509926795959473
2011-05-10,10.565863609313965
2011-05-11,10.498740196228027
2011-05-12,10.478785514831543
2011-05-13,10.295252799987793
2011-05-16,10.077557563781738
2011-05-17,10.163429260253906
2011-05-18,10.27620792388916
2011-05-19,10.296162605285645
2011-05-20,10.135608673095703
2011-05-23,10.110816955566406
2011-05-24,10.04399585723877
2011-05-25,10.18277645111084
2011-05-26,10.128958702087402
2011-05-27,10.201828002929688
2011-05-31,10.51688289642334
2011-06-01,10.446735382080078
2011-06-02,10.464573860168457
2011-06-03,10.38414192199707
2011-06-06,10.22087287902832
2011-06-07,10.039460182189941
2011-06-08,10.045507431030273
2011-06-09,10.02283000946045
2011-06-10,9.853809356689453
2011-06-13,9.87497615814209
2011-06-14,10.051554679870605
2011-06-15,9.87951374053955
2011-06-16,9.831438064575195
2011-06-17,9.683284759521484
2011-06-20,9.533920288085938
2011-06-21,9.835673332214355
2011-06-22,9.754338264465332
2011-06-23,10.014971733093262
2011-06-24,9.867417335510254
2011-06-27,10.039460182189941
2011-06-28,10.136817932128906
2011-06-29,10.099931716918945
2011-06-30,10.149212837219238
2011-07-01,10.378705978393555
2011-07-05,10.565258026123047
2011-07-06,10.635711669921875
2011-07-07,10.800193786621094
2011-07-08,10.876081466674805
2011-07-11,10.703436851501465
2011-07-12,10.695878982543945
2011-07-13,10.824983596801758
2011-07-14,10.817425727844238
2011-07-15,11.033611297607422
2011-07-18,11.302103996276855
2011-07-19,11.394323348999023
2011-07-20,11.698190689086914
2011-07-21,11.709983825683594
2011-07-22,11.89169979095459
2011-07-25,12.04892635345459
2011-07-26,12.197383880615234
2011-07-27,11.87022876739502
2011-07-28,11.84695053100586
2011-07-29,11.806432723999023
2011-08-01,11.996013641357422
2011-08-02,11.758965492248535
2011-08-03,11.869625091552734
2011-08-04,11.410043716430664
2011-08-05,11.296662330627441
2011-08-08,10.679549217224121
2011-08-09,11.308452606201172
2011-08-10,10.996420860290527
2011-08-11,11.299077987670898
2011-08-12,11.398551940917969
2011-08-15,11.592666625976562
2011-08-16,11.504076957702637
2011-08-17,11.502867698669434
2011-08-18,11.067776679992676
2011-08-19,10.764813423156738
2011-08-22,10.777214050292969
2011-08-23,11.29605484008789
2011-08-24,11.374065399169922
2011-08-25,11.299681663513184
2011-08-26,11.59780502319336
2011-08-29,11.791014671325684
2011-08-30,11.791618347167969
2011-08-31,11.635603904724121
2011-09-01,11.520708084106445
2011-09-02,11.309662818908691
2011-09-06,11.481703758239746
2011-09-07,11.608391761779785
2011-09-08,11.614744186401367
2011-09-09,11.413372993469238
2011-09-12,11.487747192382812
2011-09-13,11.629254341125488
2011-09-14,11.770755767822266
2011-09-15,11.881418228149414
2011-09-16,12.109395027160645
2011-09-19,12.445920944213867
2011-09-20,12.500946998596191
2011-09-21,12.46133804321289
2011-09-22,12.149306297302246
2011-09-23,12.224292755126953
2011-09-26,12.19012451171875
2011-09-27,12.071903228759766
